m49,area,item_code,item,year,usd_tonne
512,Oman,430,Okra,2023,1352.1
512,Oman,568,Cantaloupes and other melons,2023,394.3
524,Nepal,388,Tomatoes,2024,479.2
524,Nepal,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,1211.0
528,Netherlands (Kingdom of the),372,Lettuce and chicory,2024,2982.0
528,Netherlands (Kingdom of the),388,Tomatoes,2024,2107.7
528,Netherlands (Kingdom of the),397,Cucumbers and gherkins,2024,1748.0
528,Netherlands (Kingdom of the),399,Eggplants (aubergines),2024,1060.7
528,Netherlands (Kingdom of the),401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,855.1
528,Netherlands (Kingdom of the),544,Strawberries,2024,8433.9
540,New Caledonia,399,Eggplants (aubergines),2022,3453.6
554,New Zealand,372,Lettuce and chicory,2003,400.7
554,New Zealand,544,Strawberries,2009,2404.9
558,Nicaragua,388,Tomatoes,2023,541.7
562,Niger,372,Lettuce and chicory,2022,107.4
562,Niger,388,Tomatoes,2022,325.4
