m49,area,item_code,item,year,usd_tonne
84,Belize,568,Cantaloupes and other melons,2024,1377.9
96,Brunei Darussalam,372,Lettuce and chicory,2024,10892.5
96,Brunei Darussalam,388,Tomatoes,2024,2498.6
96,Brunei Darussalam,397,Cucumbers and gherkins,2024,1484.4
96,Brunei Darussalam,399,Eggplants (aubergines),2024,2925.7
96,Brunei Darussalam,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,9217.9
96,Brunei Darussalam,430,Okra,2024,2632.4
96,Brunei Darussalam,568,Cantaloupes and other melons,2006,2240.5
100,Bulgaria,388,Tomatoes,2024,809.2
100,Bulgaria,397,Cucumbers and gherkins,2024,983.0
100,Bulgaria,399,Eggplants (aubergines),2024,311.2
100,Bulgaria,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,587.1
100,Bulgaria,544,Strawberries,2022,1151.0
112,Belarus,388,Tomatoes,2024,1073.1
112,Belarus,397,Cucumbers and gherkins,2024,1151.8
112,Belarus,544,Strawberries,2024,2346.5
120,Cameroon,388,Tomatoes,2012,564.4
124,Canada,372,Lettuce and chicory,2024,1008.9
124,Canada,388,Tomatoes,2024,217.7
124,Canada,397,Cucumbers and gherkins,2024,582.9
124,Canada,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1189.3
124,Canada,544,Strawberries,2024,4929.4
124,Canada,568,Cantaloupes and other melons,2024,515.9
132,Cabo Verde,372,Lettuce and chicory,2024,2650.2
132,Cabo Verde,388,Tomatoes,2024,1800.0
132,Cabo Verde,397,Cucumbers and gherkins,2024,1631.1
144,Sri Lanka,388,Tomatoes,2024,800.3
144,Sri Lanka,397,Cucumbers and gherkins,2024,251.3
144,Sri Lanka,399,Eggplants (aubergines),2024,666.1
144,Sri Lanka,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1854.5
148,Chad,388,Tomatoes,2024,3700.9
148,Chad,430,Okra,2024,4654.1
152,Chile,372,Lettuce and chicory,2024,2283.0
152,Chile,388,Tomatoes,2024,938.8
152,Chile,397,Cucumbers and gherkins,2024,1100.2
152,Chile,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1332.9
152,Chile,544,Strawberries,2024,1782.7
152,Chile,568,Cantaloupes and other melons,2023,1108.1
156,"China, mainland",372,Lettuce and chicory,2024,652.5
156,"China, mainland",388,Tomatoes,2024,1058.7
156,"China, mainland",397,Cucumbers and gherkins,2024,919.6
156,"China, mainland",399,Eggplants (aubergines),2024,704.5
156,"China, mainland",401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1207.8
156,"China, mainland",544,Strawberries,2021,2667.9
156,"China, mainland",568,Cantaloupes and other melons,2021,679.9
170,Colombia,372,Lettuce and chicory,2024,632.0
170,Colombia,388,Tomatoes,2024,680.0
170,Colombia,397,Cucumbers and gherkins,2024,852.6
170,Colombia,399,Eggplants (aubergines),2024,1054.0
170,Colombia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2013,656.3
170,Colombia,544,Strawberries,2024,2106.5
170,Colombia,568,Cantaloupes and other melons,2024,666.6
178,Congo,372,Lettuce and chicory,2009,2935.3
178,Congo,388,Tomatoes,2013,1898.0
178,Congo,399,Eggplants (aubergines),2009,1687.9
178,Congo,430,Okra,2013,4129.0
184,Cook Islands,388,Tomatoes,2023,3217.8
184,Cook Islands,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,2769.5
188,Costa Rica,372,Lettuce and chicory,2022,305.6
188,Costa Rica,388,Tomatoes,2024,1868.2
188,Costa Rica,397,Cucumbers and gherkins,2024,651.2
188,Costa Rica,544,Strawberries,2024,3033.3
188,Costa Rica,568,Cantaloupes and other melons,2024,951.3
191,Croatia,372,Lettuce and chicory,2024,1257.4
191,Croatia,388,Tomatoes,2024,530.5
191,Croatia,397,Cucumbers and gherkins,2024,658.1
191,Croatia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,868.1
191,Croatia,544,Strawberries,2024,3307.0
191,Croatia,568,Cantaloupes and other melons,2024,745.5
